id;dni;name;numero_compras;tier
1;Card;transform;98890;Extremadura input compress
2;archivo w;Madera;69998;Mejorado Avanzado Región
3;País matr;redundant política out-of-the-box;96827;digital
4;Queso;driver;73889;Galicia Auto Práctico
5;Bedfordsh;Auto Metal;26783;uniforme Azul Soluciones
6;Seguridad;Plaza infraestructura Dinánmico;61795;Investment Savings
7;revolutio;algoritmo Salud;72737;Funcionalidad Verde
8;haptic So;cultivate sticky;61709;servidor Urbanización
9;Patatas H;payment;72863;Mesa Ensalada Loan
10;Ingeniero;Arquitecto vertical;38841;implement
